Country 1	Country 2	Weight
AUS	AUT	3
AUS	CAN	39
AUS	DNK	2
AUS	FIN	1
AUS	FRA	31
AUS	DEU	48
AUS	GRC	1
AUS	ISL	2
AUS	IRL	1
AUS	ITA	38
AUS	JPN	490
AUS	NLD	23
AUS	NOR	6
AUS	PRT	2
AUS	ESP	6
AUS	SWE	6
AUS	CHE	2
AUS	TUR	1
AUS	GBR	87
AUS	USA	214
AUS	BEL	18
AUS	HUN	2
AUS	KOR	41
AUS	MEX	3
AUS	NZL	87
AUS	POL	8
AUS	BRA	4
AUS	CHL	2
AUS	CHN	66
AUS	IND	17
AUS	ISR	2
AUS	ZAF	11
AUT	AUS	4
AUT	CAN	7
AUT	DNK	17
AUT	FIN	14
AUT	FRA	51
AUT	DEU	469
AUT	GRC	11
AUT	IRL	2
AUT	ITA	160
AUT	JPN	11
AUT	NLD	38
AUT	NOR	15
AUT	PRT	5
AUT	ESP	10
AUT	SWE	37
AUT	CHE	110
AUT	TUR	8
AUT	GBR	54
AUT	USA	32
AUT	BEL	21
AUT	HUN	32
AUT	KOR	4
AUT	LUX	1
AUT	MEX	2
AUT	NZL	1
AUT	POL	39
AUT	BRA	3
AUT	CHL	1
AUT	CHN	7
AUT	COL	1
AUT	IND	4
AUT	ISR	2
AUT	ZAF	7
CAN	AUS	46
CAN	AUT	10
CAN	BEL	69
CAN	DNK	6
CAN	FIN	10
CAN	FRA	72
CAN	DEU	116
CAN	GRC	9
CAN	ISL	1
CAN	IRL	8
CAN	ITA	70
CAN	JPN	312
CAN	NLD	101
CAN	NOR	24
CAN	PRT	7
CAN	ESP	17
CAN	SWE	18
CAN	CHE	27
CAN	TUR	3
CAN	GBR	225
CAN	USA	3397
CAN	HUN	1
CAN	KOR	30
CAN	MEX	35
CAN	NZL	8
CAN	POL	25
CAN	BRA	61
CAN	CHL	8
CAN	CHN	62
CAN	COL	16
CAN	IND	24
CAN	ISR	7
CAN	ZAF	14
DNK	AUS	6
DNK	AUT	14
DNK	BEL	27
DNK	CAN	9
DNK	FIN	29
DNK	FRA	71
DNK	DEU	271
DNK	GRC	7
DNK	ISL	8
DNK	IRL	6
DNK	ITA	71
DNK	JPN	24
DNK	NLD	53
DNK	NOR	87
DNK	PRT	5
DNK	ESP	12
DNK	SWE	174
DNK	CHE	31
DNK	TUR	1
DNK	GBR	192
DNK	USA	62
DNK	HUN	5
DNK	KOR	2
DNK	MEX	2
DNK	NZL	1
DNK	POL	6
DNK	BRA	2
DNK	CHL	1
DNK	CHN	3
DNK	COL	1
DNK	IND	2
DNK	ISR	2
DNK	ZAF	4
FIN	AUS	11
FIN	AUT	9
FIN	BEL	17
FIN	CAN	5
FIN	DNK	61
FIN	FRA	54
FIN	DEU	133
FIN	GRC	7
FIN	ISL	2
FIN	IRL	7
FIN	ITA	28
FIN	JPN	8
FIN	NLD	50
FIN	NOR	49
FIN	PRT	4
FIN	ESP	10
FIN	SWE	195
FIN	CHE	19
FIN	TUR	1
FIN	GBR	133
FIN	USA	37
FIN	HUN	8
FIN	KOR	1
FIN	MEX	4
FIN	POL	5
FIN	BRA	5
FIN	CHN	7
FIN	COL	1
FIN	IND	3
FIN	ISR	4
FIN	ZAF	4
FRA	AUS	30
FRA	AUT	80
FRA	BEL	867
FRA	CAN	55
FRA	DNK	69
FRA	FIN	40
FRA	DEU	1514
FRA	GRC	98
FRA	ISL	2
FRA	IRL	45
FRA	ITA	1159
FRA	JPN	91
FRA	NLD	452
FRA	NOR	43
FRA	PRT	65
FRA	ESP	265
FRA	SWE	120
FRA	CHE	435
FRA	TUR	43
FRA	GBR	647
FRA	USA	411
FRA	HUN	20
FRA	KOR	11
FRA	MEX	45
FRA	NZL	3
FRA	POL	69
FRA	BRA	58
FRA	CHL	16
FRA	CHN	25
FRA	COL	14
FRA	IND	29
FRA	ISR	22
FRA	ZAF	80
DEU	AUS	103
DEU	AUT	846
DEU	BEL	1250
DEU	CAN	103
DEU	DNK	312
DEU	FIN	171
DEU	FRA	1842
DEU	GRC	173
DEU	ISL	9
DEU	IRL	61
DEU	ITA	1371
DEU	JPN	182
DEU	NLD	1524
DEU	NOR	184
DEU	PRT	96
DEU	ESP	241
DEU	SWE	464
DEU	CHE	877
DEU	TUR	74
DEU	GBR	1030
DEU	USA	982
DEU	HUN	100
DEU	KOR	44
DEU	MEX	101
DEU	NZL	13
DEU	POL	122
DEU	BRA	128
DEU	CHL	23
DEU	CHN	95
DEU	COL	24
DEU	IND	63
DEU	ISR	57
DEU	ZAF	210
GRC	AUS	2
GRC	AUT	4
GRC	BEL	8
GRC	CAN	2
GRC	DNK	3
GRC	FIN	1
GRC	FRA	38
GRC	DEU	126
GRC	IRL	1
GRC	ITA	42
GRC	JPN	2
GRC	NLD	24
GRC	NOR	1
