Id	Hostname	Label	Pagerank
620	archive.thisisyork.co.uk	nonspam	4.041764250359582e-06
873	bbc.co.uk	nonspam	1.5336522934516826e-05
926	beehive.thisisexeter.co.uk	spam	4.16985802389637e-06
1175	books.kelkoo.co.uk	nonspam	6.950085192408536e-05
1195	bossineyfarm.co.uk	nonspam	4.636854619056181e-06
1242	braveheartguesthouse.co.uk	nonspam	3.0853855571236157e-06
1340	buffy.pyriform.co.uk	nonspam	3.7934817997492997e-06
1488	car-insurance.quotezone.co.uk	nonspam	2.753176720707074e-06
1620	cgi.ebay.co.uk	nonspam	2.4044284323005913e-05
1629	cgi07.oneandone.co.uk	spam	6.061102764961825e-06
1917	connect4fun.co.uk	spam	1.1616756661513631e-05
2031	crave.cnet.co.uk	nonspam	4.917730819568841e-06
2176	danishbritta.co.uk	spam	7.571758362558878e-06
2784	everythingelse.ebay.co.uk	nonspam	1.0031761962603672e-05
3014	forum.digitalspy.co.uk	nonspam	3.4372696077729426e-06
3432	harrypotter.warnerbros.co.uk	nonspam	3.1259701617092346e-05
3454	health.ratzrus.co.uk	nonspam	2.9490898546384758e-06
3663	hosting3.123-reg.co.uk	spam	5.0474173948732956e-06
4076	jobs.thisistotalessex.co.uk	nonspam	4.910055261685367e-06
4520	localrider.co.uk	nonspam	3.0428808942910275e-06
4988	mqdirect.mapquest.co.uk	nonspam	1.9562797972314884e-05
5056	mysite.wanadoo-members.co.uk	nonspam	0.00045848917724008694
5188	newsweaver.co.uk	nonspam	4.041114179689809e-06
5343	ojp.nationalrail.co.uk	nonspam	1.3418882762899606e-05
5492	parking-sensors-direct.co.uk	spam	2.865615902865617e-06
5619	phones4uk.co.uk	spam	4.503764350968189e-06
5627	photos.lois.co.uk	nonspam	4.092187673534425e-06
5743	pottery.ebay.co.uk	nonspam	1.272396200984632e-05
6232	sbengineeringltd.co.uk	nonspam	5.098679968640709e-06
6284	scrapbookingcastle.co.uk	spam	5.028776544975097e-06
6554	smldesign.co.uk	nonspam	2.865832242829267e-06
6588	software-support.gbdirect.co.uk	nonspam	3.390879222164268e-06
7457	users.whsmithnet.co.uk	nonspam	3.2499505787950034e-06
7917	women.aol.co.uk	nonspam	1.1587048362919937e-05
8270	www.192directory.co.uk	spam	6.873304425924825e-06
8379	www.1stchoiceofficefurniture.co.uk	nonspam	7.950340917077007e-06
8511	www.24-7mobileaccessories.co.uk	nonspam	3.249853663853402e-06
8670	www.3443.co.uk	nonspam	8.367950378081708e-06
8919	www.50connect.co.uk	nonspam	7.5090169401109305e-06
9157	www.a1k9.co.uk	nonspam	2.8404512876489943e-06
9228	www.aabc-register.co.uk	nonspam	3.092829277722142e-06
9420	www.abbeyales.co.uk	nonspam	3.6304156267896115e-06
9439	www.abbeydalepark.co.uk	nonspam	2.800102515521239e-06
9511	www.abbotsbrae.co.uk	nonspam	3.0358447599163224e-06
9958	www.abuselaw.co.uk	nonspam	5.5962462023528735e-06
9987	www.academy-events.co.uk	nonspam	8.717583766108754e-06
10056	www.accepted.co.uk	nonspam	1.245112567885441e-05
10119	www.accidentclaimsdirect.co.uk	nonspam	2.9111619148003986e-06
10278	www.acer.co.uk	nonspam	1.5272093370428785e-05
10357	www.aclabs.fsnet.co.uk	nonspam	3.7934817997492997e-06
10485	www.acquisitions.co.uk	nonspam	3.0441294873724287e-06
10509	www.acsedu.co.uk	nonspam	3.749140191759687e-06
10949	www.admain.co.uk	nonspam	6.786183089269864e-06
10973	www.admiraltyguesthouse.co.uk	nonspam	3.951320254641458e-06
10995	www.adoniscabaret.co.uk	nonspam	1.0013171228192273e-05
11049	www.adriennechinn.co.uk	nonspam	8.898055830961204e-06
11268	www.aecsociety.co.uk	nonspam	4.273727800072331e-06
11281	www.aeglive.co.uk	nonspam	1.1420541122055294e-05
11331	www.aeroflot.co.uk	nonspam	2.7766364329989816e-06
11531	www.aganto.co.uk	nonspam	4.7161107328331975e-06
11546	www.age-net.co.uk	nonspam	7.897643307614e-06
11632	www.agricentre.co.uk	nonspam	3.4343177122271736e-06
11640	www.agrisellex.co.uk	nonspam	3.198977032459748e-06
11852	www.aircraftsoftware.co.uk	nonspam	3.6406735750931526e-06
11987	www.airtours.co.uk	nonspam	6.318781406530526e-06
12210	www.alarisavenue.co.uk	nonspam	5.67725009789507e-06
12372	www.aldhammillequestrian.co.uk	nonspam	3.047536405998344e-06
12532	www.algolonline.co.uk	nonspam	1.6674944278784915e-05
12592	www.alive.co.uk	nonspam	5.9860391976310435e-06
12615	www.all-carpet.co.uk	nonspam	9.679653582993795e-06
12780	www.alliance-leicester.co.uk	nonspam	2.7491280318693237e-05
13008	www.alpacacompany.co.uk	nonspam	2.891326343797689e-06
13049	www.alphamountaineering.co.uk	nonspam	6.513154152503317e-06
13273	www.alz.co.uk	nonspam	8.65404218101539e-06
13500	www.americanpool-network.co.uk	nonspam	4.24350029904535e-06
13566	www.amlanesolutions.co.uk	nonspam	8.732232592957527e-06
13612	www.ampersandcards.co.uk	nonspam	8.743277034531958e-06
13617	www.amphenol.co.uk	nonspam	1.2209795832507644e-05
13744	www.anaudio.co.uk	nonspam	6.272638605051865e-06
13802	www.ancientcivilizations.co.uk	nonspam	2.9682129295326478e-06
14093	www.angelsordevils.co.uk	nonspam	2.9987244459548232e-06
14113	www.anglerscircle.co.uk	nonspam	2.8812088577983394e-06
14179	www.anglingintayside.co.uk	nonspam	3.618506937825045e-06
14250	www.animalplanet.co.uk	nonspam	7.954495293432882e-06
14255	www.animalsculpture.co.uk	nonspam	2.9946895836895385e-06
14291	www.ankerandpartners.co.uk	nonspam	2.7970557805085797e-06
14406	www.anorak.co.uk	nonspam	3.3162030898841146e-06
14710	www.apeks.co.uk	nonspam	1.0355213096571684e-05
14839	www.apperleydesign.co.uk	nonspam	1.3450216801163624e-05
15117	www.arabtrans.co.uk	spam	3.776967705643256e-06
15121	www.aramis-escorts.co.uk	spam	3.7445052448870462e-06
15244	www.archibaldphotography.co.uk	nonspam	5.0930422863339864e-06
15423	www.areyou-experienced.co.uk	nonspam	4.3710007000327325e-06
